,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
0,2020-03-12 01:58:27.228285,3247,HOSPITAL PRONTO SOCORRO (HPS),IYO1026,VW,VOYAGE,2018-05-28,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
1,2020-03-12 01:58:27.228285,3655,SHOPPING CENTER IGUATEMI II,IYX1491,TOYOTA,ETIOS SEDAN,2018-11-14,2018,ÁLCOOL/GASOLINA,1,1,0,0
2,2020-03-12 01:58:27.228285,4339,HOTEL LANCASTER,ITI0860,CHEVROLET,COBALT,2012-07-20,2012,ÁLCOOL/GASOLINA/GNV,1,1,1,0
3,2020-03-12 01:58:27.228285,3748,,IXQ7200,TOYOTA,ETIOS SEDAN,2017-01-13,2016,ÁLCOOL/GASOLINA,1,1,0,0
4,2020-03-12 01:58:27.228285,3108,,IWQ2948,VW,VOYAGE,2015-07-02,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
5,2020-03-12 01:58:27.228285,4864,JERÔNIMO DE ORNELAS X JACINTO GOMES,IXU6755,TOYOTA,ETIOS SEDAN,2017-04-20,2017,ÁLCOOL/GASOLINA,1,1,0,0
6,2020-03-12 01:58:27.228285,2647,CRISTÓVÃO COLOMBO/FELICÍSSIMO DE AZEVEDO,IYD5870,TOYOTA,ETIOS SEDAN,2017-10-30,2017,ÁLCOOL/GASOLINA/GNV,1,1,1,0
7,2020-03-12 01:58:27.228285,2403,AUXILIADORA X 24 DE OUTUBRO,IYS5822,CHEVROLET,PRISMA,2018-08-27,2018,ÁLCOOL/GASOLINA,1,1,0,0
8,2020-03-12 01:58:27.228285,3832,,IYJ5381,VW,VOYAGE,2018-02-27,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
9,2020-03-12 01:58:27.228285,2997,ERNESTO DA FONTOURA X BENJAMIN CONSTANT,IZM8G46,VW,VOYAGE,2019-07-25,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
10,2020-03-12 01:58:27.228285,3789,SHOPPING CENTER IGUATEMI II,ITS7784,FIAT,PALIO,1899-12-30,2012,ÁLCOOL/GASOLINA,1,1,0,0
